SampleID	k__Bacteria|Other|Other|Other	k__Bacteria|p__Actinobacteria|Other|Other	k__Bacteria|p__Actinobacteria|c__Actinobacteria|Other	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Gaiellales	k__Bacteria|p__Bacteroidetes|Other|Other	k__Bacteria|p__Bacteroidetes|c__|o__	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2	k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta	k__Bacteria|p__Cyanobacteria|c__Nostocophycideae|o__Stigonematales	k__Bacteria|p__Firmicutes|Other|Other	k__Bacteria|p__Firmicutes|c__Bacilli|Other	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	k__Bacteria|p__Gemmatimonadetes|c__Gemm-1|o__	k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__Victivallales	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__RF32	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|Other	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	k__Bacteria|p__Spirochaetes|c__[Brachyspirae]|o__[Brachyspirales]	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	k__Bacteria|p__TM7|c__TM7-3|Other	k__Bacteria|p__TM7|c__TM7-3|o__	k__Bacteria|p__TM7|c__TM7-3|o__CW040	k__Bacteria|p__TM7|c__TM7-3|o__EW055	k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	k__Bacteria|p__Tenericutes|c__RF3|o__ML615J-28	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	k__Bacteria|p__WPS-2|c__|o__	k__Bacteria|p__[Thermi]|c__Deinococci|o__Deinococcales	k__Bacteria|p__[Thermi]|c__Deinococci|o__Thermales
E160T48S.03	1.58383224049e-05	0.0	0.0	0.0163768253667	0.127308435491	0.00142544901644	0.0	0.0	0.0	0.101808736419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.16766448098e-05	0.0	0.0889005036587	0.0	0.590531850866	3.16766448098e-05	3.16766448098e-05	0.0	1.58383224049e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000221736513668	0.0	0.0	0.00288257467769	0.0640976907726	0.0	0.0	0.00631949063955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A160TTHK.03	2.57095845331e-05	0.0	0.0	0.0106951871658	0.0863070752777	0.0187679967092	0.0	0.0	0.0	0.0584378856438	0.0	0.0	0.0	0.0	0.0	2.57095845331e-05	0.0	0.000102838338132	0.0	0.00537330316742	0.0	0.806329699712	0.000179967091732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00244241053065	0.00293089263677	0.0	0.0	0.00835561497326	0.0	2.57095845331e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160S70P.03	1.2113576897e-05	0.0	0.0	0.0247964919081	0.109967051071	0.00751041767613	0.0	0.0	0.0	0.139972381045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6340730691e-05	0.0	0.0207747843783	0.0	0.656689117163	0.000690473883128	0.0	0.0	0.0	0.0	0.000751041767613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00743773621475	0.0167773040023	0.0	0.0	0.014584746584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160SZZN.03	0.000223555274042	0.0	0.0	0.0121837624353	0.184787063601	0.00367003241551	0.0	0.0	0.0	0.0518648235776	0.0	0.0	0.0	0.0	0.0	0.0	1.86296061701e-05	1.86296061701e-05	0.0	0.0389917657141	0.0	0.670758970155	0.000316703304892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00380043965871	0.00864413726294	0.0	0.0	0.0245351913261	0.0	0.000130407243191	3.72592123403e-05	0.0	0.0	1.86296061701e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160SKS5.03	0.0	0.0	0.0	0.0338957742273	0.000126348192647	3.44585979945e-05	0.0	0.0	0.0	0.172292989973	0.0	0.0	0.0	0.0	0.0	0.0	2.2972398663e-05	0.000287154983288	0.0	0.281319994027	0.0	0.367994854183	0.0	1.14861993315e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14861993315e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14397950862	0.0	0.0	2.2972398663e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160SSVD.03	0.00077786678741	0.0	0.0	0.000243808993069	1.16099520509e-05	0.0	0.0	0.0	0.0	2.32199041018e-05	0.0	0.0	0.0	0.0	0.0	0.0	9.28796164072e-05	3.48298561527e-05	0.0	0.0205844449862	0.0	0.850870165906	0.0	0.0	0.0	0.0	0.0	0.0	1.16099520509e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32199041018e-05	0.0	0.0	0.126594917163	0.0	0.000731426979207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J160TD1S.03	3.752063635e-05	0.0	0.0	0.0111061083596	0.122561158637	0.00941767972385	0.0	0.0	0.0	0.127063634999	0.0	0.0	0.0	0.0	0.0	0.000131322227225	1.8760318175e-05	9.3801590875e-05	0.0	0.0101305718145	0.0	0.704862674471	1.8760318175e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057781779979	0.0	0.0	0.00741032567912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136950322677	0.0	0.0	0.0
A160SSTH.03	0.0010815714186	0.0	0.0	0.0114669829972	1.16298002e-05	8.14086014002e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000255855604401	0.0	0.0	0.0	0.00740818272742	0.0	0.875619286861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16298002e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.103982043588	0.0	8.14086014002e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160TMTH.03	3.0440936972e-05	0.0	0.0	0.00467268382521	0.206724402977	0.00114153513645	0.0	0.0	0.0	0.123072708178	0.0	0.0	0.0	0.0	0.0	0.000410952649123	0.0	0.0	1.5220468486e-05	0.0213086558804	0.0	0.612791281716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0440936972e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0297864568271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5220468486e-05	0.0	0.0	0.0
F160SYRG.03	0.000579601171734	0.0	0.0	0.00521641054561	0.123940661372	0.000266303241067	0.0	0.0	0.0	1.56648965334e-05	0.0	0.0	0.0	0.0	0.0	9.39893792002e-05	1.56648965334e-05	3.13297930667e-05	0.0	0.0225731159046	0.0	0.812491188496	6.26595861334e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13297930667e-05	0.0	0.0	0.0346820809249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
