Taxa,H160S6Y9.04,J160S903.04,K160R985.04,J160S010.04,G160TPYP.04,F160S601.04,E160VM8V.04,C160SBJS.04,H160S2KY.04,A160RYFF.04,A160TQMV.04,F160S11D.04,K160X7TC.04,K160X7V8.04,D160S7QH.04,E160WN13.04,C160S3Q0.04,B160RSF5.04,A160TQ8N.04,J160QKF8.04,F160SBC7.04,K160R6P6.04,H160VK34.04,D160TQ47.04,H160TQRS.04,G160RFSQ.04,B160TQVM.04,H160TJZ3.04,G160TQSP.04,F160T6WJ.04,H160SDPL.04,F160TL89.04,C160VLVQ.04,E160TGY4.04,H160WX62.04,G160RMKG.04,F160RSV1.04,H160RPWL.04,E160RJ2L.04,G160R5WQ.04,E160SFZH.04,D160R2C4.04,C160S4K7.04,C160SKPS.04,E160S6VD.04,H160QPLX.04,A160S33D.04,F160RCLH.04,J160S4C8.04,H160RZQ6.04,D160QPTC.04,D160T6B7.04,G160T69B.04,G160SCZ8.04,F160RXX9.04,G160QMK5.04,G160R7S4.04,D160R7MM.04,A160S1NQ.04,H160SR90.04,C160RQ3K.04,G160QX0X.04,F160S7J3.04,J160S0PT.04,J160S30P.04,K160RT0S.04,B160S7MS.04,C160SFGR.04,A160RX4W.04,E160R0Z3.04,E160X7Y1.04,C160S1VK.04,C160S80Q.04,F160QH00.04,D160SRT1.04,G160R9KL.04,C160RNZZ.04,A160S1LX.04,B160RJPX.04,B160RNZ2.04,J160SF8F.04,C160RFQX.04,G160SB00.04,C160R32K.04,J160RCN9.04,G160SBLL.04,D160RFP3.04,D160R5XM.04,F160TQTQ.04,F160THHD.04,E160S87C.04,E160SD5F.04,A160QG4S.04,D160R3YK.04,J160RF9C.04,A160SFB7.04,E160RJV2.04,C160R9FX.04,A160VLC8.04,E160RMDN.04,K160S31L.04,G160RVVC.04,G160RXY8.04,D160RJ7N.04,D160SKSM.04,B160SHM7.04,H160RVW8.04,H160SZ7Y.04,E160S6GS.04,K160SNZ8.04,D160SJD0.04,J160RRSB.04,G160S6CY.04,C160S7RD.04,F160S7NP.04,B160Q975.04,J160RJ8K.04,D160RZL2.04,A160RV31.04,D160S92T.04,G160RPYN.04,J160S1PM.04,J160S8ML.04,D160RX79.04,E160S3SR.04,H160RZ7Z.04,C160SQS1.04,K160RYKN.04,E160TRC7.04,C160SG19.04,D160SDJN.04,B160RKKK.04,B160SMM7.04,H160SHB7.04,C160SH9B.04,K160T704.04,D160W1Y1.04,G160SLQQ.04,E160S94M.04,D160S47N.04,J160S48K.04,H160S5NT.04,H160SCQV.04,A160SCKJ.04,G160RRF7.04,J160TP14.04,E160SDHH.04,F160RZ8W.04,K160SGWM.04,J160S9S8.04,F160SDG2.04,B160SGBJ.04,H160S4BC.04,E160RPQ1.04,A160SZ4K.04,D160SBS0.04,B160S1RY.04,A160TR31.04,F160S4JB.04,F160RZHC.04,D160S7PL.04,E160RZK5.04,D160SH1Y.04,A160SD3M.04,A160RRV4.04,J160T6XF.04,A160S697.04,B160SRK1.04,C160ST5W.04,H160RX6D.04,K160TG8F.04,F160S51B.04,F160S93Q.04,C160SRJ0.04,J160SPM0.04,F160SJSB.04,K160SJ1K.04,J160SDXN.04,C160SW1W.04,D160S202.04,J160S7B2.04,K160T2LP.04,J160T67W.04,D160RXQ9.04,D160SCLF.04,A160S1FH.04,F160S49G.04,K160QLXN.04,C160RMHN.04,B160RXS3.04,E160RST4.04,E160SBP9.04,A160T09Y.04,E160S7KZ.04,E160S6B4.04,D160RZGG.04,G160PY41.04,A160TRBB.04,C160S01Z.04,F160SB0X.04,J160SGHR.04,D160SYJ3.04,C160T2KS.04,F160SFWC.04,J160SB7C.04,B160SBKP.04,E160S32H.04,E160SYK0.04,A160QMJ6.04,D160RXF8.04,H160S4D5.04,B160T66Z.04,F160SHKF.04,F160S1H9.04,J160RXWD.04,D160SW4L.04,F160STTT.04,G160SWN7.04,E160SYCX.04,B160S1L0.04,J160SMCV.04,K160T6Z7.04,D160SR33.04,A160SLTH.04,K160QGV7.04,F160SWYC.04,J160SKFW.04,C160QM25.04,F160QKDC.04,G160SS4S.04,D160SKRQ.04,H160SX2C.04,H160SVJK.04,A160QSGW.04,G160SV8H.04,B160SGGV.04,G160R1L4.04,D160RQG1.04,H160SP4R.04,J160S91X.04,E160S09J.04,K160SYFS.04,A160SPRY.04,A160RXDC.04,D160QX5Q.04,C160WTF6.04,J160TKZT.04,E160QV3W.04,H160W54T.04,H160TBM7.04,J160QY99.04,F160T94Z.04,B160TWSZ.04,G160S0BF.04,J160VFK7.04,F160WS8Z.04,K160T942.04,C160SV9D.04,C160QF2Z.04,A160QT05.04,C160SLDT.04,E160SLFS.04,E160QGQX.04,K160SSTY.04,E160V9QR.04,K160ST0X.04,A160W91L.04,G160TFPW.04,K160T6C4.04,F160SLMG.04,E160RK6X.04,A160SFD1.04,A160R9VB.04,E160Q54T.04,G160QGRT.04,E160QL6Y.04,J160R9SX.04,G160TBNH.04,E160Q7CG.04,D160TL12.04,F160QC5P.04,A160WS36.04,J160QF9J.04,G160SG60.04,G160QC3W.04,E160QV2Z.04,J160QYMQ.04,H160SST1.04,J160QSKL.04,B160QF7G.04,D160SKJH.04,H160QX6M.04,D160QKH2.04,E160QPH2.04,H160QPF8.04,D160S7K2.04,G160QC2Z.04,D160Q69H.04,C160SBR3.04,E160VFH5.04,C160VWLP.04,B160VTBY.04,J160T24S.04,J160V0B8.04,A160TPLM.04,K160TWG2.04,F160W1W5.04,D160V9RN.04,K160VWML.04,A160WDDL.04,B160V3GT.04,B160TXJD.04,G160VKLH.04,F160TL64.04,H160V4XM.04,B160TTH3.04,G160W5XD.04,J160WDFZ.04,H160V9WK.04,C160VKKL.04,D160WLTV.04,C160V4F1.04,E160T6J6.04,A160W5PK.04,H160WB2F.04,H160V4YJ.04,H160WDCP.04,H160V5DD.04,E160WDH8.04,K160VSFD.04,G160W5NN.04,F160VHF2.04,J160T628.04,F160S2J4.04,K160T32G.04,A160RPP4.04,J160WDZZ.04,C160SYZ5.04,F160TPMJ.04,G160WDVK.04,E160V7FH.04,G160TMJ8.04,C160VGC6.04,H160VX76.04,D160TF2T.04,G160TYG6.04,B160TX61.04,D160TC75.04,J160TJ4B.04,G160VTZ3.04,J160WZMT.04,G160THGH.04,F160S44K.04,K160WTHP.04,J160TQGY.04,E160TZNW.04,H160W610.04,E160TYK3.04,G160T158.04,C160TXGG.04,K160TY18.04,B160VRX9.04,J160TMS4.04,H160T8W8.04,C160WDRV.04,J160VFWN.04,H160TXB0.04,J160VL5R.04,B160V5WC.04,G160WZDZ.04,J160TLV2.04,H160W0PX.04,H160VVL2.04,D160SZZ6.04,A160TX17.04,A160T6VM.04,J160TFL8.04,D160VSD3.04,B160TXHF.04,B160TP5W.04,K160V4D4.04,K160TCGB.04,E160T172.04,C160QZXL.04,K160TD1B.04,K160TY4J.04,B160TMT1.04,E160VJ0F.04,E160RYH7.04,F160T37P.04,H160RXJ3.04,G160SZN6.04,J160RTZZ.04,K160S0RP.04,G160TPXS.04,J160V5NQ.04,D160TMTY.04,H160RWC7.04,E160RL7N.04,E160TC8Z.04,K160T23W.04,K160RKN5.04,B160WJ6V.04,B160WCHZ.04,J160TYYM.04,D160V9NW.04,F160TG7J.04,C160W4CX.04,K160W0T4.04,J160TY25.04,G160V0S2.04,C160T8LH.04,E160T6RX.04,D160VVXW.04,E160W4JT.04,H160V6XZ.04,J160W20W.04,K160W2Z0.04,B160W4S8.04,F160V0CJ.04,J160WMY0.04,C160VXQD.04,G160VJ7J.04,C160SWR8.04,F160SRH1.04,H160WH7L.04,C160TZK8.04,F160T7WK.04,B160SN73.04,D160SJHM.04,J160SM6S.04,D160TMKJ.04,K160V3VK.04,C160WH8H.04,C160VH7K.04,A160VT6V.04,B160SNMY.04,E160X7ZB.04,A160TVXG.04,G160W0VF.04,G160TDK8.04,H160V2JJ.04,D160W0FH.04,A160SS7H.04,D160SSL7.04,D160TC82.04,K160TBG1.04,C160T53D.04,D160V98N.04,E160WX4S.04,H160SX80.04,J160S707.04,D160W7Z2.04,C160V63R.04,A160WBC6.04,B160W5LV.04,G160W0DL.04,A160T0P6.04,E160STQV.04,E160T87X.04,C160V7CP.04,E160SWJM.04,H160SXKB.04,E160SWFX.04,E160V00P.04,D160T83D.04,A160TCFC.04,K160VWKS.04,K160SY5T.04,G160TYJ6.04,G160T165.04,K160TXRQ.04,B160T1TH.04,E160T47C.04,A160W62T.04,G160TB6J.04,J160T7Q5.04,A160WDQ1.04,F160SS3T.04,C160SYY8.04,F160SXL7.04,G160TJ8P.04,C160SN59.04,K160TF10.04,K160SVPT.04,K160TL71.04,H160T0LB.04,B160TYH9.04,H160T4QV.04,H160VYZZ.04,F160WR6Z.04,F160SC25.04,G160VZKY.04,B160V2HM.04,A160WJ84.04,F160V1LF.04,E160SCJM.04,E160S5PQ.04,D160S5QM.04,A160SL0H.04,G160T3KL.04,G160TGDB.04,J160SRFS.04,C160S6ZB.04,D160SX0D.04,K160T215.04,C160VTD7.04,A160SYWG.04,G160SV7J.04,E160VWHL.04,F160SS99.04,G160VY6B.04,E160VB80.04,K160VB73.04,C160SPL3.04,D160WGZB.04,G160T0HF.04,G160SR83.04,E160T9NN.04,H160W3YD.04,A160VFYG.04,J160SQ13.04,E160SMFN.04,F160SNGB.04,D160STSX.04,C160SKNW.04,A160SPVJ.04,D160SNK1.04,E160SNX9.04,B160SQ2J.04,G160SS5P.04,C160SLRM.04,J160TF03.04,B160WXG3.04,A160S8JY.04,J160TK82.04,J160WXF6.04,G160T4B4.04,J160T222.04,C160SMP3.04,E160SJ5D.04,E160T0R0.04,C160SXP0.04,G160TSNH.04,K160W0MQ.04,D160SK8Q.04,A160T2XJ.04,K160TVYH.04,H160VWG9.04,J160STZ7.04,D160TYWT.04,G160SSZ3.04,A160VBPZ.04,E160SLNC.04,K160VBQW.04,J160VTF4.04,F160SZDV.04,E160V5RF.04,H160SS0K.04,C160TB7F.04,A160SKXQ.04,E160V9MZ.04,A160SPB0.04,G160T1BP.04,K160T0Z4.04,A160STCL.04,J160SKQT.04,B160TN52.04,K160TYXQ.04,H160T71D.04,F160TCM2.04,J160SN66.04,K160VDLY.04,H160TFN2.04,J160VGB9.04,C160SJDX.04,F160T1ZC.04,A160SQ5Y.04,G160SWXG.04,A160V3WG.04,C160T0ST.04,H160SSB6.04,J160SNFF.04,C160SM22.04,E160T4XZ.04,B160SV5C.04,F160VWJH.04,K160TN6B.04,G160T88T.04,F160T0K7.04,F160QDNH.04,E160TDJC.04,D160SKZL.04,H160T0GJ.04,D160V3FX.04,D160TX6Y.04,B160TZL5.04,C160SM92.04,B160STBM.04,E160T95W.04,J160VVBP.04,E160STS0.04,K160T3V0.04,A160SSR7.04,A160VCTN.04,D160T9RQ.04,H160T497.04,E160T3MJ.04,E160THC7.04,H160TLGX.04,E160V6VQ.04,K160TKMG.04,E160SWQC.04,F160T3LK.04,G160V14Z.04,C160ST4X.04,B160V6RJ.04,E160SLLK.04,E160TZM2.04,K160TXSM.04,F160T77G.04,G160T8KL.04,A160SZJV.04,B160SVNX.04,H160SQFK.04,H160T1KX.04,H160TK73.04,C160T0JB.04,F160SJLB.04,B160SW2S.04,E160T9MR.04,F160SKKD.04,K160T4P2.04,J160T9QG.04,D160SYQ3.04,H160SPMX.04,H160SL96.04,J160SWMB.04,G160SHHM.04,D160TMMD.04,A160STXC.04,H160TDGL.04,E160SPNT.04,K160T76K.04,A160TDWN.04,C160SHGQ.04,H160SXVM.04,K160TN45.04,G160T3J8.04,C160SVRW.04,F160V4LN.04,E160T1LT.04,K160V0Y9.04,D160SWLF.04,F160SV04.04,F160QSZ8.04,G160QNB9.04,C160P4Y8.04,F160P2XB.04,B160P4PM.04,D160QVQ0.04,E160NVV7.04,C160PSD5.04,D160R45Y.04,C160PRDR.04,K160Q2KP.04,A160PXLS.04,H160R4DF.04,E160PC2L.04,E160PQHX.04,K160RD5V.04,E160R12R.04,G160R978.04,J160QPSG.04,G160QVS7.04,J160QJZ9.04,G160RS9W.04,C160PB6L.04,F160PP3N.04,K160PLLL.04,H160P6JQ.04,F160Q31M.04,K160PTMM.04,G160RCQ5.04,F160PPZQ.04,K160Q4TM.04,F160NSXS.04,B160NQ9D.04,F160NSW1.04,J160NP5Z.04,B160NSS3.04,C160PHZT.04,D160RFQ0.04,D160QGWD.04,B160R77N.04,E160QDWF.04,C160QJ2L.04,E160TQBG.04,C160RYGB.04,G160R76R.04,D160R0C7.04,E160VKD7.04,A160TQ9K.04,C160RVDP.04,B160Q3GH.04,C160RLJM.04,H160Q0LJ.04,F160RCBH.04,E160R8DD.04,A160PZ1F.04,F160RZB4.04,H160VKFJ.04,H160Q24W.04,E160PX8B.04,H160R33G.04,K160RFXX.04,E160PX6Q.04,K160QVVY.04,B160QXKR.04,E160PMFW.04,H160RN2R.04,H160Q8C5.04,F160P7HZ.04,J160PSLS.04,E160PZY1.04,C160QTQ0.04,C160P86J.04,G160Q461.04,E160P8JG.06,J160PQ0M.04,E160R7TM.04,H160PMQ8.04,A160Q2XF.04,H160PYNW.04,F160Q2HW.04,B160QYQF.04,J160PTFM.04,B160PRFN.04,A160PSB7.04,A160PPPP.04,E160PL5Y.04,G160PFQN.04,B160PGYC.04,C160PQRM.04,K160P4QF.04,A160PNVS.04,F160PLMM.04,B160P5PJ.04,D160P6HX.04,E160PFPV.04,J160P2WJ.04,B160Q3PV.04,A160PT68.04,G160PLNF.04,C160PMR2.04,D160PK27.04,D160Q3DQ.04,C160PY5V.04,C160R8H4.04,C160QXJV.04,H160QYK0.04,D160Q3NT.04,F160Q7XC.04,J160RFRT.04,D160R9F0.04,C160QVT4.04,H160RCRZ.04,F160P04Z.04,B160NVWP.04,B160RX3Z.04,G160SV6M.04,E160RW3H.04,C160RV0W.04,B160SL66.06,D160PZ9K.04,F160QB2X.04,H160R7LQ.04,D160QVB2.04,K160QPKS.04,F160QS83.04,G160R29M.04,A160QYLT.04,H160RB1Z.04,D160R5YJ.04,F160S6DV.04,H160S1WG.04,A160SFS7.04,K160RXMG.04,E160RRH1.04,F160RJ9G.06,D160QPQ3.04,E160RW1P.06,F160QXRV.04,C160R7Z3.06,C160RHLK.04,G160S9Z3.06,K160S6FW.04,F160S2K1.04,G160SC18.04,J160SL7C.06,K160SB6G.04,F160QP3Z.04,J160SF0X.07,K160S4L4.04,K160R7BC.06,H160QBDW.06,F160RJDK.04,G160S6RS.06,K160R6YC.04,A160QZM0.04,K160S8KV.04,K160SJ0N.04,A160T6SW.04,K160S9X8.04,D160SDRZ.04,C160S1XC.04,E160S89R.06,H160S1TN.04,K160RCDB.04,B160QF13.04,F160S2QX.04,H160QNTG.04,G160QXG4.04,F160Q5W3.04,D160QYWR.04,K160Q0BC.04,B160RHB0.04,B160Q5GZ.04,F160QYB6.04,A160RBZ3.04,B160R72S.04,G160QD1K.04,K160R2D1.04,F160R4SB.04,A160RHBX.04,D160RGS6.04,A160QSHS.04,J160R800.04,K160RGBW.04,J160QWZG.04,J160QX26.04,H160QN9B.04,H160QQYC.04,H160QMH9.04,J160S2NZ.04,B160R1TD.04,E160R1RS.04,K160QSXD.04,E160S95J.04,F160Q5F5.06,K160SGDB.04,J160RQHX.04,F160Q8LV.04,K160QNQM.04,A160S2RT.04,H160QS76.04,K160S50F.04,K160SF7J.04,G160QZK6.06,C160R5VT.04,J160SGTT.06,J160QXV6.04,C160Q00Q.04,F160SBV9.04,F160SFXB.04,G160RC1T.04,J160SH57.04,K160RQH0.04,B160SCVS.04,E160RK4Z.06,A160RVZW.04,K160QP4W.04,J160QFRY.04,F160QKK9.04,A160QH76.04,B160QX4T.04,A160QM32.04,C160R34C.04,G160QDL9.04,D160QCVX.04,F160RHKN.04,F160R6Z8.04,B160QPRH.04,E160Q7HZ.04,B160R4GH.04,G160S3KR.04,D160SGCF.04,G160S9T7.04,H160QYTY.06,B160QHTR.04,C160S43N.04,K160QV95.04,B160S96F.04,K160S1Z5.04,E160SDVV.04,K160S6K3.04,K160RV9Q.04,H160RTMF.04,E160QCV0.04,F160R7NX.04,F160RFX0.04,K160Q67P.04,D160R9MD.04,K160QHRF.04,J160RJMR.04,G160RG9X.04,A160R96C.04,A160R9GT.04,B160QV1J.04,A160R7Q5.04,E160QD8Q.04,C160RM7F.04,C160RD81.04,B160QSY9.04,A160Q5G2.04,J160R8Z3.04,G160R5R6.04,B160RN1V.04,A160QK8H.04,A160R2QT.04,H160RFYT.04,H160R66S.04,B160QRHQ.04,J160RJ3H.04,F160QYT1.04,B160QRBW.04,E160RFV6.04,A160R5ZF.04,F160Q9S4.04,F160R4ZW.04,F160QZMZ.04,J160RXK0.04,D160RHJR.04,D160QY4D.04,E160RGNZ.04,H160Q1XD.04,C160R7Y6.04,D160QFTC.04,G160QN8F.04,C160RHNC.04,K160R04Q.04,B160QBK7.04,H160QF8C.04,G160QJVN.04,G160Q8KY.04,E160QXY1.04,K160QYVV.04,J160RJ4D.04,E160QHHY.04,G160R4PY.04,F160Q5V6.04,E160R3WR.04,K160RC6Y.04,K160R4CJ.04,F160R9JP.04,J160R3VV.04,B160Q7Y8.04,D160RCSW.04,G160RXZ5.04,K160R4QX.04,F160QC22.04,D160QN57.04,G160RCR2.04,E160RFW3.04,J160RC5Z.04,E160SM3Y.04,A160R6Q3.04,F160QZL3.04,D160VM9R.04,K160QDKD.04,G160VK98.04,G160RJCL.04,F160RQXD.04,K160R8J1.04,H160Q09G.04,A160RW0S.04,D160QPP4.04,D160RLKJ.04,H160R67P.04,J160R8Y6.04,E160QTRS.04,E160R1XF.04,D160RNJS.04,K160Q66S.04,H160Q5D8.04,H160PZSB.04,B160SHWG.04,G160SLSL.04,A160RK60.04,B160R5Q9.04,H160R79G.04,C160VQW6.04,D160RH93.04,C160QXHY.04,K160QT12.04,E160S20Z.04,G160R20R.04,K160SNDJ.04,F160SPXB.04,A160QRJP.04,B160RP60.04,J160RNPG.04,F160S164.04,K160S171.04,G160QYJ3.04,G160Q145.04,G160PLGW.04,E160QHJV.04,B160Q1B6.04,F160RNGG.04,C160RC50.04,K160QV53.04,J160QS0R.04
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leucobacter|s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,951,0,0,1520,0,3,0,60,3,631,0,469,949,1233,813,0,668,113,107,215,763,212,45,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,91,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
